Model,Accuracy,Precision,Recall,F1-score,,3분류 언더
LightGBM,0.577608142,0.505473136,0.577608142,0.507737938,,
XGBoost,0.577608142,0.542809773,0.577608142,0.532591634,,
CatBoost,0.562340967,0.505725012,0.562340967,0.494411035,,
Hard-Voting,0.560319084,0.495877845,0.562417084,0.52705567,,
Soft-Voting,0.572519084,0.524898845,0.572519084,0.50605362,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Model,Accuracy,Precision,Recall,F1-score,,2분류 언더
LightGBM,0.651399491,0.651749799,0.651399491,0.651367891,,
XGBoost,0.666666667,0.668289846,0.666666667,0.666225981,,
CatBoost,0.712468193,0.712868348,0.712468193,0.712442129,,
Hard-Voting,0.692111959,0.692934805,0.692111959,0.69198036,,
Soft-Voting,0.702290076,0.703137615,0.702290076,0.702162828,,
